Title,Description,Detail URL,Location,Company Name,Company Logo,Company Apply Url
Full-Stack Developer [1 month NP MAX],"Project Description:Luxoft has been asked to contract a Full-Stack Developer in support of a number of customer initiatives. The primary objective is to develop based on client requirements in the Telecom/network work environment
Responsibilities:A Full stack developer with experience in front end and back end using the technologies listed.Knowledge in SAFe/Agile methodologies, Knowledge of RDBMS, Knowledge in DevOps, Azure, Microservices, and Expertise in building GUI.Translate User / Business Requirements to Technical RequirementsDesign.Hands-on experience with the skillset provided.Perform Code scan to identify security vulnerabilities and fix the issuesAbility to work in Scaled Agile modelDebug and fix Production IssuesSupport ETE testing and represent applicationNeed to work as a team player
Mandatory Skills:Microsoft Azure App Service, PostgreSQL, Python, MySQLEducation: Typically, a Bachelor's degree in Computer Science (preferably M.Sc. in Computer Science), Software Engineering, or a related field is required.Experience: 5+ years of experience in full-stack development or related fields.Technical Skills: Proficiency in HTML/CSS, JavaScript, PHP, and frameworks or libraries like React, Vue, NodeJS, Angular, Python, PHP and familiarity with databases like MySQL, PostgreSQL, or MongoDB (Tzvi: building microservices/APIs, backend work, AZURE!, exposure to genAI and vector DBs a plus).Understanding of Architecture: Comprehensive understanding of multiple front-end and back-end processes, and experience in API design and development.Version Control/Git: Experience in version control systems like Git is essential for tracking changes in code during software development.Testing and Debugging: Knowledge of methods and tools for testing and debugging both front-end and back-end code.Problem-Solving Skills: Ability to troubleshoot and resolve issues related to application development and deployment.Communication Skills: Ability to effectively communicate technical concepts to team members and stakeholders. This includes written and verbal communication.Teamwork: Ability to work effectively in teams with diverse individuals and skill sets.Continuous Learning: Given the rapidly evolving nature of web technologies, a commitment to learning and adapting to new technologies and methodologies is crucial.
Nice-to-Have Skills:Exposure to genAI on the full-stack would be good (VectorDB like Milvus or Microsoft AI Search), APIs, etc. We can also maybe consider someone that has full-stack as well as capable with DevOps specifically with Azure experience.Building microservices/APIs, backend work, AZURE!, exposure to genAI and vector DBs a plus
Languages:English: C2 Proficient",https://www.linkedin.com/jobs/view/3918301973/,"Bengaluru, Karnataka, India",Luxoft,https://media.licdn.com/dms/image/v2/C560BAQGEEw9HXvgGzA/company-logo_400_400/company-logo_400_400/0/1639383759204/luxoft_logo?e=1740009600&v=beta&t=s9l1twH8sCQajdlIfIEMXqMrLk4xuJMYpi1aT6_l2Es,https://www.linkedin.com/job-apply/3918301973
Full Stack Developer,"Introduction

At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities

We are looking for a developer highly interested in developing an innovative, future-oriented solution that automates and simplifies the installation, configuration and testing of Linux on Z systems.

Your main duties will include design and implementation of new features, optimizing and maintaining existing code and ensuring the software meets high-quality standards through testing and debugging. You will also work closely with the customers to ensure the software meets their needs.

Step in and be part of IBM System Development Lab community, outstanding for its innovation and team spirit, offering one of the broadest project portfolios of hardware and software technologies within the IBM Corporation.

Engineers in our team work inside a highly agile development environment and are responsible for the full software development life cycle – ranging from designing and implementing of the new product features, testing for industry-leading quality assurance over to continuous product delivery as well as supporting our global customers. You should be thrilled by emerging technologies with our software products for future Mainframe and Cloud-based markets.

Responsibilities

What you will do (Roles & Responsibilities) : 


Are you interested in developing Cloud and Open Source? Your favourite operating system is Linux? Would you like to be part of an Open Source community and do you intend to build a world class Infrastructure as a service ( IAAS ) software . Are you passionate about bringing in your expertise and developing your career in an International Agile development culture? If so, our team is the right place for you!Our Linux infrastructure is responsible for providing enterprise class solution to create virtual machines on IBM Z and IBM Linux One systems to perform lifecycle operations. The software manages relationships between data centre resources like servers, Storage and network and allocate them to specific projects and users according to a role-based schema.The product also support API Communication to integrate with the Platform as a service ( PAAS ) layer and also compatible with Ansible playbooks to automate the VM creation and lifecycle management.The enablement of automation tool like Ansible / Terraform enable customers to effortlessly bring up their environments without necessitating a deep understanding of the IBM Z platform.


Required Technical and Professional Expertise


5+ years of Working experience as a Full Stack DeveloperStrong background in Software development with in-depth knowledge of Python, SQL DB, Carbon UI, SQL Alchemy, Alembic, designing REST API and working knowledge of distributed services.Strong development skills in Openstack and its components.Experience with React frontend (Typescript/Javascript, React, SPA, webpack, backend API consumption)Strong Core Linux Development skillsExpert level skill in Type1/Type2 hypervisors, OS Virtualization , Process and resource Management in Operating system, network segmentation.Good to have, C/C++ programming skillsGood to have skill in Storage and Fabric Architecture with sound working knowledge.Strong skills in git/Gerrit, shell(ksh/bash), containers and orchestration, system monitoring, Jenkins, groovy scripts, CI/CD pipeline integration and end-to-end tests, playbooks and process automation.Experience with deployment on OpenShift.A Self-starter Individual with excellent problem-solving skills, able to work independently and as a part of the team.Broad and proven know-how in database technology and practical experience in software development and agile methodologyGood Project management skills (iteration or other agile flavours, cross-team coordination, aligning with customer goals)Good Community management skills (working with open source contributors, client outreach and other public relations)Strong Technical leadership skills (achieving excellence through code quality and practices, architecture decisions, innovation) 


Preferred Technical And Professional Expertise


3+ years of experience in python development 3+ years of UI development experience using Carbon, React.3+ years of experience in zLinux operating systems and virtualization/hypervisor Expert level skills in source code repository systems (e.g. git / gerrit), scripting languages (e.g. Python, shell) and test Automation skillsStrong English communication skills both written and Verbal 


About Business Unit

IBM Systems helps IT leaders think differently about their infrastructure. IBM servers and storage are no longer inanimate - they can understand, reason, and learn so our clients can innovate while avoiding IT issues. Our systems power the world’s most important industries and our clients are the architects of the future. Join us to help build our leading-edge technology portfolio designed for cognitive business and optimized for cloud computing.

This job requires you to be fully COVID-19 vaccinated prior to your start date and proof of vaccination status will be required before your start date. During the Onboarding process you will be asked to confirm your vaccination status, in case you are unable to get vaccinated for any reason, you can let us know at that stage. Please let us know if you are unable to be vaccinated due to medical or religious reasons. IBM will consider such requests on a case by case basis subject to submission of required proof by the candidate before a stipulated date.

Your Life @ IBM

In a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.

Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.

Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.

Are you ready to be an IBMer?

About IBM

IBM's greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

When applying to jobs of your interest, we recommend that you do so for those that match your experience and expertise. Our recruiters advise that you apply to not more than 3 roles in a year for the best candidate experience.

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",https://www.linkedin.com/jobs/view/4035894613/,"Bengaluru East, Karnataka, India",IBM,https://media.licdn.com/dms/image/v2/D560BAQGiz5ecgpCtkA/company-logo_400_400/company-logo_400_400/0/1688684715866/ibm_logo?e=1740009600&v=beta&t=hUpWItKPVrhiajQhsH2WVGWaN7Seo5wsM2QFpsln88A,https://IBM.contacthr.com/142997828?Codes=SN_LinkedIn
Senior Frontend Developer,"Exp Level: 5-7 yearsProject:Enterprise Portal developmentConfiguration ManagerConsume Services from a strong BE platfromKey Skills : UI, ES6, JS fundamentals, Typescript, HTML, CSSCompanies : Product companies , Some one who has built from scratchLocation : Remote/ would prefer Bangalore for once in a while sync upsInterview Process :Round 1 : Simple Coding (React + JS fundamentals)Round 2 :Logical Thinking / Problem Solving (edited)",https://www.linkedin.com/jobs/view/4075231539/,Greater Bengaluru Area,Recro,https://media.licdn.com/dms/image/v2/D560BAQH7GYOGBCj8Qg/company-logo_400_400/company-logo_400_400/0/1728907260215/recro_io_logo?e=1740009600&v=beta&t=OM_af9YKpxvY4f8I7EqWLOQEgND4WaHDtVYHlPEgl0M,https://www.linkedin.com/job-apply/4075231539
Web Backend Developer,"Who We Are

At Kyndryl, we design, build, manage and modernize the mission-critical technology systems that the world depends on every day. So why work at Kyndryl? We are always moving forward – always pushing ourselves to go further in our efforts to build a more equitable, inclusive world for our employees, our customers and our communities.

The Role

Are you passionate about solving complex problems? Do you thrive in a fast-paced environment? Then there’s a good chance you will love being a part of our Software Engineering – Development team at Kyndryl, where you will be able to see the immediate value of your work.

As a Web Backend Developer at Kyndryl, you will be at the forefront of designing, developing, and implementing cutting-edge software solutions. Your work will play a critical role in our business offering, your code will deliver value to our customers faster than ever before, and your attention to detail and commitment to quality will be critical in ensuring the success of our products.

Using design documentation and functional programming specifications, you will be responsible for implementing identified components. You will ensure that implemented components are appropriately documented, unit-tested, and ready for integration into the final product. You will have the opportunity to architect the solution, test the code, and deploy and build a CI/CD pipeline for it.

As a valued member of our team, you will provide work estimates for assigned development work, and guide features, functional objectives, or technologies being built for interested parties. Your contributions will have a significant impact on our products' success, and you will be part of a team that is passionate about innovation, creativity, and excellence. Above all else, you will have the freedom to drive innovation and take ownership of your work while honing your problem-solving, collaboration, and automation skills. Together, we can make a difference in the world of cloud-based managed services.

Your Future at Kyndryl

The career path ahead is full of exciting opportunities to grow and advance within the job family. With dedication and hard work, you can climb the ladder to higher bands, achieving coveted positions such as Principal Engineer or Vice President of Software. These roles not only offer the chance to inspire and innovate, but also bring with them a sense of pride and accomplishment for having reached the pinnacle of your career in the software industry.

Who You Are

You’re good at what you do and possess the required experience to prove it. However, equally as important – you have a growth mindset; keen to drive your own personal and professional development. You are customer-focused – someone who prioritizes customer success in their work. And finally, you’re open and borderless – naturally inclusive in how you work with others.

Required Technical And Professional Experience

6 to 9 years of progressive experience in developing Java applicationsExperience in Java/J2EE, Spring Framework or EJB 3.0REST API development using JSON/XML. Experience with Boomi a plus. Application Server management, specifically JBoss/WildFly and Server OS and Infrastructure - Linux, Cloud (AWS/Amazon, Azure)Automated testing, NodeJS and Implementing OIDC securityExperience with SOLR search, Okta or similar IDM platformDelivering secure applications and ability to stay current with latest vulnerabilities and risks. Collaborate with and synthesize feedback from both UX and cloud technology teammates. Experience with Git or Git derivative and with Git workflows, including tagging, branching, and integrationAgile Methodology (working in sprints, estimating work in story points. Knowledge of TDD (Test Driven Development) methodology and experience writing] unit, integration and E2E tests. Strong grasp of SQL and database schema design. Familiarity with JenkinsAbility to understand the full scope of the problems our products are solving for users

Preferred Technical And Professional Experience

Strong analytical and problem-solving skills. Proven ability to manage complex problems & multiple concurrent projects with a penchant for meeting the deadlines and key milestones. Must be able to work under pressure, have a strong sense of ownership of the program and be action oriented. Should be able to communicate vision with enthusiasmDemonstrated ability to recognize problems, recommend solutions, and collaboratively implement changesExcellent interpersonal and communication skills, strong analytical skills, and the ability to interface effectively with all levels within the organization, including executive and senior management teams. Should be capable to undertake innovative & critical thinking that challenges the status quo with ideas that create significant business value. Independent thinker, ResearcherAbility to rationalize the relationship between business value and our programming deliverables. 

Being You

Diversity is a whole lot more than what we look like or where we come from, it’s how we think and who we are. We welcome people of all cultures, backgrounds, and experiences. But we’re not doing it single-handily: Our Kyndryl Inclusion Networks are only one of many ways we create a workplace where all Kyndryls can find and provide support and advice. This dedication to welcoming everyone into our company means that Kyndryl gives you – and everyone next to you – the ability to bring your whole self to work, individually and collectively, and support the activation of our equitable culture. That’s the Kyndryl Way.

What You Can Expect

With state-of-the-art resources and Fortune 100 clients, every day is an opportunity to innovate, build new capabilities, new relationships, new processes, and new value. Kyndryl cares about your well-being and prides itself on offering benefits that give you choice, reflect the diversity of our employees and support you and your family through the moments that matter – wherever you are in your life journey. Our employee learning programs give you access to the best learning in the industry to receive certifications, including Microsoft, Google, Amazon, Skillsoft, and many more. Through our company-wide volunteering and giving platform, you can donate, start fundraisers, volunteer, and search over 2 million non-profit organizations. At Kyndryl, we invest heavily in you, we want you to succeed so that together, we will all succeed.

Get Referred!

If you know someone that works at Kyndryl, when asked ‘How Did You Hear About Us’ during the application process, select ‘Employee Referral’ and enter your contact's Kyndryl email address.",https://www.linkedin.com/jobs/view/4041912483/,"Bengaluru, Karnataka, India",Kyndryl India,https://media.licdn.com/dms/image/v2/C4E0BAQGWCh-69Ran9Q/company-logo_400_400/company-logo_400_400/0/1639145885790?e=1740009600&v=beta&t=t060duBxIm8D_rSQ-UtyR5PJrCLdpooh3L0iBWLubf0,https://kyndryl.wd5.myworkdayjobs.com/KyndrylProfessionalCareers/job/Bangalore-Karnataka-India/Web-Backend-Developer_R-24927?source=REC_APPLICANT_SOURCE_LinkedIn
Web Developer - Intelligent Automation,"We require someone with 5-7 years experience in web development, including:Working with repositories (GitHub)JavaScriptCSSand Amazon Web ServicesRobotic Process Automation

Must have1. Automation and Scripting:General programming skills to be able to work with any programming language at a medium level, preferably JavaScript (with CSS and JSON skills.)Ability to troubleshoot and debug deployment pipelines in GitHub Actions, including reviewing logs and understanding pipeline failures.2. Amazon Web Services (AWS):Knowledge of how to create, manage, and configure S3 buckets, including setting permissions, configuring bucket policies, and enabling static website hosting (if applicable).Understanding of how to manage AWS access using IAM roles and policies. The candidate must be able to create or configure IAM roles with the necessary permissions to access S3.Ability to configure access using environment variables, or leveraging GitHub Actions to securely configure AWS credentials. The candidate must be able to grant the correct permissions for the GitHub Actions runner to access and deploy to the S3 bucket.3. CI/CD and GitHub Actions:Proficiency in using Git/GitHub for version control, especially the ability to push changes, manage branches, and set up repository triggers for deployments (e.g., triggering the pipeline on push to the main branch).Understanding of continuous integration and continuous deployment practices. The candidate should know how to build, test, and deploy using pipelines.Environment Variables and Secrets: Knowledge of securely storing and using secrets (such as AWS credentials) in GitHub via GitHub Secrets.
Nice to have:Basic knowledge of KoreAi environment, general AI knowledge and way how ChatBot works.Shell scripting: Basic knowledge in shell scripting for creating commands and scripts to automate deployment tasks.GitHub Actions: Experience with creating and managing workflows in GitHub Actions, which involves creating YAML files to define pipelines.AWS CLI/SDK: Familiarity with the AWS Command Line Interface (CLI) or SDK, especially commands such as aws s3 cp or aws s3 sync to interact with S3 buckets programmatically.Databases: basic knowledge of SQL language (preferably Ms SQL/T-SQL.",https://www.linkedin.com/jobs/view/4045773818/,"Bengaluru, Karnataka, India",BSH Home Appliances India,https://media.licdn.com/dms/image/v2/D4D0BAQGDA7iylDc1IQ/company-logo_400_400/company-logo_400_400/0/1686903656515/bsh_india_logo?e=1740009600&v=beta&t=VEWCclm1416MgiWsDz_Z2me0X7nr1XXV4blytdyHwkQ,https://jobs.bsh-group.de/34629-web-developer-intelligent-automation/en/job.html
Fullstack Developer,"Introduction

At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk

Your Role and Responsibilities

As a key member of our dynamic team, you will play a vital role in crafting exceptional software experiences. Your responsibilities will encompass the design and implementation of innovative features, fine-tuning and sustaining existing code for optimal performance, and guaranteeing top-notch quality through rigorous testing and debugging. Collaboration is at the heart of what we do, and you'll be working closely with fellow developers, designers, and product managers to ensure our software aligns seamlessly with user expectations.

The role seeks good levels of personal organisation and the ability to work well within a distributed global team in a fast paced and exciting environment. You will be office based, working with senior software engineers who will help you integrate into the team, the department and wider IBM. You will be joining a development squad following Design Thinking and Agile principles where you are expected to collaboratively develop creative solutions. The work can be varied, flexibility to learn new technologies and skills is key as we look look to help grow your career within IBM. A positive attitude and a passion to succeed is essential in joining a high performing software development team at IBM.

Required Technical and Professional Expertise


Total experience of 5+ years in SaaS Software DevelopmentBe involved and take ownership of the end-to-end delivery - from solution design, estimation, development, testing and deployment3+ years experience developing, deploying, debugging of Java / J2EE applications 2+ years experience with developing using Springboot2+ years experience with developing micro-services using REST or GraphQL APIs1+ years experience with developing using Python3+ years experience in front-end development with strong skills in JavaScript, CSS, HTML5, TypeScript, Angular (version 8+) and/or React3+ years experience with database systems including SQL or NoSQL data stores 2+ years Experience in development and design of CICD & other automation frameworks Experience on unit test and API & UI Automation test development and executionAbility to write high-performance, reusable code, including appropriate testingUphold quality standards including reliability, efficiency, security, maintainability and usability by applying best practice processes, methodologies and toolsProven oral/written communication and organizational skillsAbility to multi-task and re-prioritize under pressureUsing Agile Development principles and practices


Preferred Technical And Professional Expertise


Experience with technologies like NoSQL DB , Git, Jenkins and build tools like Maven/Gradle is much preferred. Experience cloud-native technologies including Docker containers, Kubernetes orchestration, or OpenShiftFamiliarity with Cassandra, Mongo, ElasticSearch, Flink and/or Kafka.Familiarity with other programming models and open standards


About Business Unit

IBM Software infuses core business operations with intelligence—from machine learning to generative AI—to help make organizations more responsive, productive, and resilient. IBM Software helps clients put AI into action now to create real value with trust, speed, and confidence across digital labor, IT automation, application modernization, security, and sustainability. Critical to this is the ability to make use of all data, because AI is only as good as the data that fuels it. In most organizations data is spread across multiple clouds, on premises, in private datacenters, and at the edge. IBM’s AI and data platform scales and accelerates the impact of AI with trusted data, and provides leading capabilities to train, tune and deploy AI across business. IBM’s hybrid cloud platform is one of the most comprehensive and consistent approach to development, security, and operations across hybrid environments—a flexible foundation for leveraging data, wherever it resides, to extend AI deep into a business.

This job requires you to be fully COVID-19 vaccinated prior to your start date and proof of vaccination status will be required before your start date. During the Onboarding process you will be asked to confirm your vaccination status, in case you are unable to get vaccinated for any reason, you can let us know at that stage. Please let us know if you are unable to be vaccinated due to medical or religious reasons. IBM will consider such requests on a case by case basis subject to submission of required proof by the candidate before a stipulated date.

Your Life @ IBM

In a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.

Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.

Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.

Are you ready to be an IBMer?

About IBM

IBM's greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

When applying to jobs of your interest, we recommend that you do so for those that match your experience and expertise. Our recruiters advise that you apply to not more than 3 roles in a year for the best candidate experience.

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",https://www.linkedin.com/jobs/view/4025815970/,"Bengaluru East, Karnataka, India",IBM,https://media.licdn.com/dms/image/v2/D560BAQGiz5ecgpCtkA/company-logo_400_400/company-logo_400_400/0/1688684715866/ibm_logo?e=1740009600&v=beta&t=hUpWItKPVrhiajQhsH2WVGWaN7Seo5wsM2QFpsln88A,https://IBM.contacthr.com/142516460?Codes=SN_LinkedIn
Web Developer - Intelligent Automation.,"Tomorrow is our home.

Find out how you can enjoy, grow and perform at BSH Home Appliances Group: As a leading manufacturer of home appliances and solutions, we encourage commitment and open-mindedness among our employees. With our global brands Bosch, Siemens, Gaggenau and Neff as well as our local brands, our focus truly is on innovation. And that doesn’t just apply to our products and services, but also drives the way in which we cooperate, exchange ideas and organize our teams. Everyone is invited to make their individual contribution to our overall success. Join us now and give your career a home.

BSH Household Appliances Manufacturing Private Limited | Full time | Web Developer

Bangalore

Your responsibilities

Working with repositories (GitHub) JavaScript CSS and Amazon Web Services

Automation and ScriptingAmazon Web Services (AWS)CI/CD and GitHub Actions

Your profile

Basic knowledge of KoreAi environment, general AI knowledge and way how ChatBot works.Shell scripting5-7 Years Experience

Your benefits

Hybrid work model

Further information

Please visit bsh-group.com/career. We would love to welcome you in our team!",https://www.linkedin.com/jobs/view/4042992597/,"Bengaluru, Karnataka, India",BSH Home Appliances Group,https://media.licdn.com/dms/image/v2/C4E0BAQEwLIWRzbAC0g/company-logo_400_400/company-logo_400_400/0/1668426466351/bsh_home_appliances_group_logo?e=1740009600&v=beta&t=Tu_JOuGK7Mrx4VTuIF0QBLCicZvf4a3mgke8a-m8cp0,https://jobs.bsh-group.de/34629-web-developer-intelligent-automation/en/job.html
Frontend Developer,"THIS IS A LONG TERM CONTRACT POSITION WITH ONE OF THE LARGEST, GLOBAL, TECHNOLOGY LEADER. 
Our large, Fortune client is ranked as one of the best companies to work with, in the world. The client fosters progressive culture, creativity, and a Flexible work environment. They use cutting-edge technologies to keep themselves ahead of the curve. Diversity in all aspects is respected. Integrity, experience, honesty, people, humanity, and passion for excellence are some other adjectives that define this global technology leader.
Minimum Qualifications:Responsible for adding and optimizing large amounts of JS/React/CSS/SASS and markup for a robust, complex, and responsive platform. Helping estimate tasks and suggesting user-interface improvements
Must have Strong experience with XML, DOM, and templating schemes e.g. FreeMarker, Handlebars, XSLTMust have Strong experience with FreeMarker a ""template engine."" and in-depth Freemarker Template Injection.5+ years of experience in full-stack (React.js/AngularJS/Vue.js ) software development, building enterprise-scale applications in a cloud / hosted environmentStrong hands-on experience in JavaScript (ES6), HTML, and CSSKnowledge of object-oriented programming, design patterns, concurrency, files and DatabasesStrong Hands-on Experience in JavaScript and working experience with React.js, Next.js, Vue.js, Ember.js, or similarStrong Hands-on Experience in Core JAVA, Spring, HibernateExpertise in building and maintaining shared libraries in React JS, Redux, and CSS preprocessors like LESS, SASS, CSS3Strong understanding of and experience in working with GraphQL or RESTWorking knowledge of server-side programming frameworks: Node.jsKnowledge of web, accessibility, and SEO standardsExperience with relational databases like MySQL or PostgresAdd on Experience in writing and maintaining unit tests using frameworks such as Jest/EnzymeSomeone who understands GIT, pull requests, and good software development practicesKnowledge of deploying applications to Docker, KubernetesExperience with configuration management tools preferably GIT for branching, merging, and continuous integration.Working experience in agile teams",https://www.linkedin.com/jobs/view/4077333030/,India,Applicantz,https://media.licdn.com/dms/image/v2/C4E0BAQFylbfs5CK2fg/company-logo_400_400/company-logo_400_400/0/1630566893916/applicantz_ai_logo?e=1740009600&v=beta&t=vufrft0cASH69ebYJqD5mDU5q7g3zGIplmvtzJsj0sI,https://www.linkedin.com/job-apply/4077333030
Full Stack Web Developer,"Overview

The Full Stack Web Developer will employ React and Node.js in an embedded and cloud environment to bridge our Q-SYS platform to the connected world. Q-SYS is a fast growing, award winning, software and hardware platform encompassing cutting-edge audio, video and control products. You will creatively leverage web technologies to develop a leading web monitoring and management platform while respecting the unique requirements and challenges of a real-time distributed embedded system.

QSC thrives where innovative technology and compelling audio-visual experiences intersect. For over 50 years, QSC has pioneered the technology and solutions that enable immersive cinema, live performance audio, themed entertainment, digital collaboration and meeting experiences for our customers and partners around the world. A globally recognized innovator in the design, engineering, and manufacture of category leading high-performance loudspeakers, digital mixers, power amplifiers, audio processors, digital cinema solutions, and the Q-SYS™ software-based audio, video and control Ecosystem.

By joining the QSC team, you will be in a challenging, collaborative, fun, and innovative environment. We encourage employees to take ownership, to color outside the lines, and to imagine possibilities. Our culture is casual but dynamic, with cross-functional teams collaborating on creating memorable audio-visual experiences that deliver joy to people, wherever they are. At QSC, fun and hard work go hand in hand. Join us and make a difference in the way people experience movies, meetings, presentations, live performances, and much more.

This position is based in Bangalore, India

Responsibilities

 Lead development of new software features in a mature enterprise web application.  Work with Product Owners, UX, and Architects to develop customer facing solutions that are reliable and extensible.  Mentor other engineers on enterprise application software design, and the product code base.  Work with Software Quality Assurance to develop appropriate test strategies.  Perform other duties as assigned 

Qualifications

 B.E. in Computer Science, or equivalent experience  Minimum 5 - 10 years’ experience developing web applications  Minimum 5 years’ experience with Node.js  Experience in JavaScript/ES6  Knowledge of Node.js and the Node.js ecosystem  In-depth experience with front-end web technologies: HTML5, CSS, React/Redux, WebSockets  Demonstrated ability to deliver product features to customers in a production environment  Strong understanding of RESTful design principles and experience creating and consuming APIs  Knowledge and application of SOLID principles of software design.  Solid understanding of web security fundamentals  Experience with revision control and CI tools  Experience with at least one cloud environment such as AWS, GCP, or Azure  Familiarity with databases and message brokers  Familiarity with container technologies and microservices architectures  Fluency with Linux command line tools  C++ development experience a bonus",https://www.linkedin.com/jobs/view/3999050152/,"Bengaluru, Karnataka, India",QSC,https://media.licdn.com/dms/image/v2/D560BAQGXRgazL7CYtQ/company-logo_400_400/company-logo_400_400/0/1695333949223/qsc_audio_products_llc_logo?e=1740009600&v=beta&t=6-LpIXZBeIo9n8XikAErI3G0WtEMp9PYYzj9-d8pgIE,https://qsccareers-qsc.icims.com/jobs/4342/full-stack-web-developer/job?mode=apply&iis=LinkedIn&iisn=LinkedIn
Fullstack Engineer  [T500-13870],"Key ResponsibilitiesIndependently complete small- to medium-sized features and defectsParticipate in team planning activitiesAble to triage simple issues independently, and more complex issues with some assistanceParticipate in technical design and review of features, with guidanceConsistently follow practices and guidelinesHelp to mentor new team membersKnow how to prioritize your own workUnderstand the business supported by your applicationsProactively communicate status and issues to their managerPropose ideas within the team to increase effectiveness through automationFocused learning to attain expertise in one or more technical areasShow a commitment to delivery deadlines, in particular seasonal and vendor partner deadlines that are critical to continued success
Basic Qualifications2+ years of relevant professional experience with a bachelor’s or associate degree, OR equivalent. Including:2+ years of with back-end development (Java)Experience with Full Stack software development (React, Javascript, Typescript)Excellent communication skills, especially when working with a distributed teamAbility to pair program with other team members2+ years of experience with microservices architecture, producing and consuming REST APIs1+ years of experience with Cloud Platforms (AWS, GCP, Azure, or OpenStack, etc.)
Preferred QualificationsExperience working in an omni-channel retail environmentExperience with GraphQL and event-driven designExperience in relational database and NoSQL databases.Familiarity with AI/ML technologies and frameworksFamiliarity with Jira, GitHub Actions or Jenkins, Splunk or Kibana or similar tools",https://www.linkedin.com/jobs/view/4016023434/,"Bengaluru, Karnataka, India",Talent500,https://media.licdn.com/dms/image/v2/D4D0BAQHuKbWO4wHOQQ/company-logo_400_400/company-logo_400_400/0/1691055747064/talent500_logo?e=1740009600&v=beta&t=C4ePGg6orvEM_y__19M2FoihlvV_t-etuXWd9vQHYys,
